Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
33,0,2.50012,1.69317,-1.67497,-263.236,131.839,715.438,-0.159231,0.318568,-1.34591,-270.671,98.4327,828.018,-0.176067,1.5859,0.163087,-206.896,124.87,709.097
34,0,2.49867,1.69526,-1.67386,-263.247,131.877,715.454,-0.159472,0.318544,-1.34587,-270.652,98.4606,828.014,-0.176279,1.58616,0.162968,-206.896,124.886,709.073
35,0,2.49715,1.69211,-1.676,-263.245,131.89,715.451,-0.159454,0.318433,-1.34571,-270.625,98.5003,828.031,-0.176607,1.58568,0.162963,-206.876,124.93,709.085
36,0,2.50077,1.69395,-1.67358,-263.177,131.928,715.446,-0.159529,0.318306,-1.34551,-270.624,98.5268,828.032,-0.17675,1.58584,0.163252,-206.847,124.966,709.097
37,0,2.49938,1.69088,-1.67345,-263.155,131.954,715.469,-0.162837,0.317861,-1.34569,-270.672,98.5992,828.15,-0.177003,1.58556,0.163444,-206.794,124.998,709.157
38,0,2.50006,1.69085,-1.67299,-263.096,131.979,715.543,-0.159177,0.317669,-1.34542,-270.598,98.5838,828.098,-0.177037,1.58501,0.163339,-206.739,125.019,709.223
39,0,2.49847,1.69022,-1.67447,-263.104,131.964,715.6,-0.159033,0.317717,-1.34541,-270.598,98.5934,828.137,-0.17676,1.58508,0.163378,-206.705,125.032,709.276
40,0,2.49988,1.69104,-1.6737,-263.073,132.003,715.611,-0.159085,0.317648,-1.34538,-270.58,98.6061,828.154,-0.173648,1.58371,0.161604,-206.656,125.058,709.343
41,0,2.49945,1.69134,-1.67331,-263.08,132.031,715.63,-0.159023,0.317874,-1.34537,-270.571,98.6207,828.184,-0.176962,1.58516,0.163524,-206.706,125.091,709.311
42,0,2.49931,1.6905,-1.67431,-263.113,132.073,715.672,-0.159005,0.318279,-1.34523,-270.555,98.6247,828.203,-0.176955,1.58532,0.163765,-206.722,125.131,709.315
43,0,2.58963,1.69276,-1.53994,-262.622,133.434,714.881,-0.15897,0.318621,-1.34511,-270.561,98.6288,828.173,-0.176368,1.58556,0.164037,-206.75,125.168,709.284
44,0,2.59014,1.69267,-1.53965,-262.626,133.481,714.841,-0.159011,0.318783,-1.345,-270.577,98.6405,828.157,-0.176683,1.58536,0.164379,-206.795,125.211,709.25
45,0,2.58794,1.69341,-1.53998,-262.675,133.486,714.845,-0.163109,0.318596,-1.34499,-270.645,98.7022,828.248,-0.177085,1.5855,0.164251,-206.835,125.221,709.225
46,0,2.58934,1.69328,-1.53962,-262.714,133.456,714.799,-0.15959,0.318682,-1.34471,-270.609,98.6618,828.123,-0.177263,1.58553,0.164471,-206.876,125.201,709.188
47,0,2.54245,1.69495,-1.58934,-262.905,132.993,714.617,-0.163328,0.318546,-1.34511,-270.675,98.6884,828.164,-0.177172,1.58568,0.164313,-206.89,125.172,709.136
48,0,2.53596,1.67998,-1.61452,-262.857,132.902,714.681,-0.163468,0.318574,-1.34521,-270.66,98.6606,828.126,-0.176927,1.58557,0.163926,-206.891,125.126,709.078
49,0,2.50089,1.69255,-1.67395,-263.237,132.041,715.434,-0.159696,0.318652,-1.34502,-270.602,98.5836,828.011,-0.176943,1.58601,0.163756,-206.893,125.079,709.053
50,0,2.49991,1.69179,-1.6743,-263.256,132.002,715.39,-0.159407,0.318939,-1.34505,-270.604,98.5428,827.973,-0.17661,1.58559,0.163481,-206.895,125.039,709.028
51,0,2.50167,1.69331,-1.67306,-263.216,132.008,715.383,-0.162793,0.318921,-1.3455,-270.65,98.5416,828.035,-0.176249,1.58565,0.163537,-206.872,125.015,709
52,0,2.50006,1.69307,-1.67366,-263.198,131.986,715.361,-0.159904,0.319325,-1.34512,-270.572,98.4534,827.929,-0.1762,1.58623,0.164093,-206.849,124.994,708.983
53,0,2.50184,1.69451,-1.67208,-263.157,131.978,715.353,-0.162514,0.319148,-1.34534,-270.616,98.4718,827.996,-0.176223,1.58615,0.164229,-206.839,124.978,708.976
54,0,2.50068,1.69543,-1.6719,-263.17,131.95,715.334,-0.162332,0.318861,-1.34521,-270.618,98.4592,827.981,-0.176337,1.586,0.164092,-206.826,124.972,708.969
55,0,2.4994,1.69348,-1.6726,-263.174,131.941,715.328,-0.162441,0.318713,-1.34524,-270.613,98.4634,827.983,-0.17649,1.5855,0.164029,-206.81,124.968,708.975
56,0,2.50002,1.69372,-1.67216,-263.161,131.93,715.357,-0.15897,0.318643,-1.34474,-270.55,98.4267,827.905,-0.176381,1.58553,0.163699,-206.79,124.957,709.001
57,0,2.50236,1.69445,-1.67076,-263.141,131.936,715.356,-0.162765,0.318437,-1.34501,-270.6,98.4597,828.001,-0.176522,1.58597,0.163845,-206.79,124.949,709
58,0,2.50048,1.69507,-1.67368,-263.11,131.895,715.339,-0.159231,0.318727,-1.34495,-270.519,98.415,827.915,-0.176453,1.58549,0.163588,-206.773,124.935,708.997
59,0,2.49968,1.69355,-1.67322,-263.128,131.907,715.375,-0.159294,0.31894,-1.34506,-270.495,98.4121,827.939,-0.176602,1.58603,0.163786,-206.762,124.936,709.002
60,0,2.50072,1.69462,-1.67279,-263.088,131.912,715.399,-0.159137,0.319219,-1.34517,-270.475,98.3941,827.952,-0.176189,1.58625,0.163971,-206.751,124.928,709.01
61,0,2.49849,1.69299,-1.67463,-263.119,131.886,715.433,-0.15895,0.319324,-1.3451,-270.465,98.3821,827.97,-0.176321,1.58619,0.164241,-206.756,124.926,709.033
62,0,2.49992,1.69348,-1.67305,-263.106,131.897,715.433,-0.158895,0.319205,-1.3452,-270.465,98.3758,827.969,-0.176032,1.58587,0.164114,-206.729,124.939,709.051
63,0,2.4998,1.69183,-1.67347,-263.093,131.904,715.462,-0.158848,0.319001,-1.34511,-270.466,98.3875,827.982,-0.176073,1.5859,0.164125,-206.712,124.95,709.081
64,0,2.50335,1.69529,-1.67075,-263.03,131.947,715.452,-0.158896,0.319011,-1.34503,-270.468,98.3997,827.982,-0.176144,1.58556,0.164109,-206.708,124.961,709.087
65,0,2.50125,1.69375,-1.67372,-263.078,131.93,715.477,-0.162498,0.318893,-1.34529,-270.534,98.4595,828.08,-0.175961,1.58573,0.164341,-206.717,124.985,709.091
66,0,2.49979,1.69498,-1.67476,-263.074,131.916,715.485,-0.162519,0.318747,-1.34522,-270.535,98.4684,828.108,-0.17644,1.5857,0.164327,-206.734,125.008,709.097
67,0,2.49988,1.69456,-1.6739,-263.096,131.943,715.505,-0.158987,0.319143,-1.3449,-270.474,98.4402,828.018,-0.176466,1.58594,0.164663,-206.757,125.023,709.097
